Sale ID,Date,Product ID,Region,Qty Sold,Product Name,Category,Brand,Total Price,,,
S001,1/5/2024,P001,Dhaka,4,Laptop Pro,Electronics,TechBrand,55000,,,
S002,1/12/2024,P002,Chittagong,1,Wireless Mouse,Accessories,TechBrand,1200,,,
S003,1/20/2024,P003,Sylhet,9,Office Chair,Furniture,ComfortZone,15000,,,
S004,1/25/2024,P004,Rajshahi,8,Notebook Set,Stationery,WriteRight,450,,,
S005,2/3/2024,P005,Khulna,8,USB-C Hub,Accessories,TechBrand,3500,,,
S006,2/10/2024,P006,Dhaka,5,Standing Desk,Furniture,ComfortZone,28000,,,
S006,2/10/2024,P006,Dhaka,5,Standing Desk,Furniture,ComfortZone,28000,,,
S007,2/18/2024,P007,Chittagong,4,Webcam HD,Electronics,TechBrand,4500,,,
S009,3/1/2024,P009,Rajshahi,3,"Monitor 27""",Electronics,TechBrand,32000,,,
S010,3/8/2024,P010,Khulna,19,Desk Lamp LED,Furniture,ComfortZone,2200,,,
S011,3/15/2024,P001,Dhaka,14,Laptop Pro,Electronics,TechBrand,55000,,,
S012,3/22/2024,P002,Chittagong,2,Wireless Mouse,Accessories,TechBrand,1200,,,
S013,3/28/2024,P003,Sylhet,1,Office Chair,Furniture,ComfortZone,15000,,,
S014,4/2/2024,P004,Rajshahi,3,Notebook Set,Stationery,WriteRight,450,,,
S015,4/10/2024,P005,Khulna,7,USB-C Hub,Accessories,TechBrand,3500,,,
S017,4/25/2024,P007,Chittagong,17,Webcam HD,Electronics,TechBrand,4500,,,
S018,5/5/2024,P008,Sylhet,20,Pen Drive 128GB,Accessories,StorePro,850,,,
S019,5/12/2024,P009,Rajshahi,1,"Monitor 27""",Electronics,TechBrand,32000,,,
S020,5/20/2024,P010,Khulna,18,Desk Lamp LED,Furniture,ComfortZone,2200,,,
S021,5/28/2024,P001,Dhaka,7,Laptop Pro,Electronics,TechBrand,55000,,,
S021,5/28/2024,P001,Dhaka,7,Laptop Pro,Electronics,TechBrand,55000,,,
S022,6/3/2024,P002,Chittagong,18,Wireless Mouse,Accessories,TechBrand,1200,,,
S023,6/10/2024,P003,Sylhet,14,Office Chair,Furniture,ComfortZone,15000,,,
S025,6/25/2024,P005,Khulna,15,USB-C Hub,Accessories,TechBrand,3500,,,
S026,7/2/2024,P006,Dhaka,19,Standing Desk,Furniture,ComfortZone,28000,,,
S027,7/10/2024,P007,Chittagong,9,Webcam HD,Electronics,TechBrand,4500,,,
